"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
"시민안전비상벨_01",02,05,제주시 삼무로 56,제주특별자치도 제주시 삼무로 56,제주특별자치도 제주시 연동 282-3,33.4896140,126.4925948,03,Y,N,N,쌍방통화가능,2018,2019-05-30,Y,제주시청,064-728-3753,2019-05-30
"시민안전비상벨_02",02,05,제주시 중앙로 244,제주특별자치도 제주시 중앙로 244,제주특별자치도 제주시 이도2동 1185-20,33.4980852,126.5307268,03,Y,N,N,쌍방통화가능,2018,2019-05-30,Y,제주시청,064-728-3753,2019-06-11
"공중화장실_안전비상벨_2016001",01,02,바오젠거리,제주특별자치도 제주시 신대로12길 54,,33.488942103,126.490899209,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016002",01,02,노형근린공원,제주특별자치도 제주시 과원북로4길 12,,33.4800943,126.4825358,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016003",01,02,오일시장B(문화광장),제주특별자치도 제주시 오일장서길 26,,33.4974552,126.4747907,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016004",01,02,도두봉섬머리,제주특별자치도 제주시 서해안로 197,,33.5060179,126.4690627,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016005",01,02,공항입구주차장,제주특별자치도 제주시 다호북길 7,,33.5036757487,126.4957118,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016006",01,02,모충사,제주특별자치도 제주시 사라봉길 75,,33.5164215,126.5470246,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016007",01,02,중앙로한짓골 주차장,,제주특별자치도 제주시 이도1동 1491-1,33.5109566,126.5234211,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016008",01,02,동문공설시장,,제주특별자치도 제주시 일도1동 1103,33.5120807,126.5283388,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016009",01,02,인제 공영주차장,제주특별자치도 제주시 고마로19길 5,,33.5046572,126.5423641,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016010",01,02,한림매일시장,제주특별자치도 제주시 한림복동길 7-6,,33.4996213,126.5311884,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016011",01,02,협재해수욕장,,제주특별자치도 제주시 한림읍 협재리 2447,33.3938461,126.2397141,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016012",01,02,곽지해수욕장,,제주특별자치도 제주시 애월읍 곽지리 1566,33.4499354,126.3041839,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016013",01,02,서문공설시장,제주특별자치도 제주시 서문로4길 13-2,,33.5113829,126.5179733,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016014",01,02,법원북측 공영주차장,,제주특별자치도 제주시 이도2동 1066,33.4883148,126.5223777,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016015",01,02,시민복지타운광장,,제주특별자치도 제주시 도남동 582,33.4917058,126.5228452,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016016",01,02,세화항포구,제주특별자치도 제주시 구좌읍 해맞이해안로 1391,,33.5275939,126.8566925,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016017",01,02,창흥동해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 1973,,33.5135017,126.8988856,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016018",01,02,동백동산 화장실,,제주특별자치도 제주시 조천읍 선흘리 산 12,33.5170339,126.7176118,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016019",01,02,서우봉해변관리사무소,,제주특별자치도 제주시 조천읍 함덕리 산14-47,33.5424118,126.670084,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016020",01,02,자구네포구,제주특별자치도 제주시 노을해안로 1161,,33.3093262538,126.165157889,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017001",01,02,납읍난대림공중화장실,제주특별자치도 제주시 애월읍 납읍로2길 36,,33.4357274,126.3298393,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017002",01,02,곽지과물해변 동측,,제주특별자치도 제주시 애월읍 곽지리 1565,33.4507522,126.3056339,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017003",01,02,연동공원,제주특별자치도 제주시 신광로12길 17,,33.4824026222,126.487998026,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017004",01,02,용담공원,제주특별자치도 제주시 용두암길 15,,33.5149624,126.5116869,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017005",01,02,어영공원,제주특별자치도 제주시 서해안로 451,,33.5183454006,126.487558183,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017006",01,02,이호해수욕장,제주특별자치도 제주시 테우해안로 172-9,,33.4967451357,126.4525656611,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017007",01,02,이호비치,제주특별자치도 제주시 서해안로 45-18,,33.4996521,126.4550541,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017008",01,02,현사어촌정주어항,제주특별자치도 제주시 테우해안로 143,,33.4975522,126.4495561,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017009",01,02,금능해수욕장,제주특별자치도 제주시 한림읍 금능리 119-10,,33.3598575,126.2460727,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017010",01,02,한림매일시장,제주특별자치도 제주시 한림복동길 7-6,,33.4996213,126.5311884,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017011",01,02,한림매일시장,제주특별자치도 제주시 한림복동길 7-6,,33.4996213,126.5311884,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017012",01,02,한림매일시장,제주특별자치도 제주시 한림복동길 7-6,,33.4996213,126.5311884,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017013",01,02,한림매일시장,제주특별자치도 제주시 한림복동길 7-6,,33.4996213,126.5311884,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017014",01,02,노형제1근린공원,제주특별자치도 제주시 정존5길 67,,33.4866192,126.4695106,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017015",01,02,노형제2근린공원,제주특별자치도 제주시 월광로 116,,33.4894302,126.471923,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017016",01,02,사라봉공원(동측),제주특별자치도 제주시 사라봉동길 74,,33.5186625178,126.5476915740,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017017",01,02,산지천 공중화장실,제주특별자치도 제주시 관덕로17길 13-1,,33.5140129,126.5278132,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017018",01,02,김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 9,,33.5568965300,126.7604655863,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017019",01,02,월정해안가,,제주특별자치도 제주시 구좌읍 월정리 554-6지선,33.5468086,126.7838117,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017020",01,02,세화리해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 1465,,33.5248385,126.8620628,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017021",01,02,평대해수욕장,제주특별자치도 제주시 해맞이해안로 1184,,33.5331472290,126.8401888908,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017022",01,02,서동항포구,,제주특별자치도 제주시 구좌읍 평대리 2025-6,33.5243749,126.8423829,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017023",01,02,구좌오일시장,,제주특별자치도 제주시 구좌읍 세화리 1500-4,33.5246476,126.8599392,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017024",01,02,삼화제6호근린공원,,제주특별자치도 제주시 도련1동 1912,33.5136463,126.5833584,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017025",01,02,탑동1공원(서측),제주특별자치도 제주시 탑동해안로 46,,33.5186479,126.5202551,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017026",01,02,삼양해수욕장,제주특별자치도 제주시 선사로8길 15,,33.5296399,126.5929756,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017027",01,02,버스회차지,,제주특별자치도 제주시 삼양1동 1579-1,33.5294743,126.5935606,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017028",01,02,감수탕,제주특별자치도 제주시 감수북길 41,,33.5256376,126.5841005,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017029",01,02,제주대학교 버스 회차지,,제주특별자치도 제주시 아라1동 1,33.4261379,126.5626925,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017030",01,02,닭머루,,제주특별자치도 제주시 조천읍 신촌리 3403,33.5377171,126.6131171,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017031",01,02,동동포구,,제주특별자치도 제주시 조천읍 신촌리 533-3,33.5378092,126.6249346,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017032",01,02,소금밭,제주특별자치도 제주시 조천읍 조함해안로 273-35,,33.5519352,126.6485994,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017033",01,02,함덕어촌정주어항,,제주특별자치도 제주시 조천읍 함덕리 3113-5지선,33.5457602,126.6618734,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018001",01,02,도두오래물화장실,제주특별자치도 제주시 서해안로 170,제주특별자치도 제주시 도두일동 2605-6,33.5043322,126.4668980,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018002",01,02,다락쉼터,,제주특별자치도 제주시 애월읍 고내리 461-1,33.470235,126.341006,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018003",01,02,하고수동탈의장,,제주특별자치도 제주시 연평리 1185-5,33.482943,126.4719700,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018004",01,02,홍조단괴탈의장,제주특별자치도 제주시 우도면 우도해안길 256,제주특별자치도 제주시 연평리 2512-3,33.5030066,126.9433751,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018005",01,02,일도1동주민센터앞,제주특별자치도 제주시 중앙로7길 15,제주특별자치도 제주시 일도1동 1306-7,33.5150703,126.5264434,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018006",01,02,서우봉해변야영장,제주특별자치도 제주시 조천읍 조함해안로 585,제주특별자치도 제주시 조천읍 함덕리 200,33.5443012,126.6740916,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018007",01,02,서우봉해변(관리사무소동쪽),제주특별자치도 제주시 조천읍 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 산14-1,33.5427175,126.6692481,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018008",01,02,서우봉해변(관리사무소앞),제주특별자치도 제주시 조천읍 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 산14-1,33.5427175,126.6692481,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018009",01,02,동문공설시장,제주특별자치도 제주시 동문로4길 9,제주특별자치도 제주시 일도1동 1103,33.5120807,126.5283388,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018010",01,02,동문수산시장,제주특별자치도 제주시 오현길 81,제주특별자치도 제주시 이도1동 1349-44,33.5120314,126.5250969,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018011",01,02,제주칠성로상점가,제주특별자치도 제주시 관덕로13길 12,제주특별자치도 제주시 일도1동 1476-20,33.5140876,126.5262125,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018012",01,02,용담공원(남)용두암주차장,제주특별자치도 제주시 용두암길 15,제주특별자치도 제주시 용담2동 483,33.5149624,126.5116869,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018013",01,02,용담공원(여)용두암주차장,,제주특별자치도 제주시 용담2동 484,33.514569,126.5126479,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018014",01,02,제40호어린이공원,,제주특별자치도 제주시 이도2동 404,33.497502,126.5407674,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018015",01,02,제41호어린이공원,,제주특별자치도 제주시 일도2동 65,33.502256,126.5447664,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018016",01,02,제42호어린이공원,,제주특별자치도 제주시 일도2동 88,33.499977,126.547290,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018017",01,02,한마음공원,,제주특별자치도 제주시 이도2동 1942-1,33.495166,126.545283,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018018",01,02,샛도리물,,제주특별자치도 제주시 삼양1동 1938-3,33.529294,126.589225,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018019",01,02,이도2동 공영주차장,제주특별자치도 제주시 오복3길 9,제주특별자치도 제주시 이도2동 1052-2,33.4967895192,126.5349264450,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018020",01,02,해신사,,제주특별자치도 제주시 화북1동1619-3,33.524560,126.565599,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2018021",01,02,해안포구,제주특별자치도 제주시 금산5길 38,제주특별자치도 제주시 화북1동 4269,33.5258464,126.5640245,03,Y,N,N,경고등+경보음+음성자동인식,2018,2019-04-08,Y,제주시청 환경관리과,064-728-2192,2019-05-30
